TT        |KE                                                |k(u,v)         |h(v)           |g(v)           |f(v)           |LList                         |LList1                        
A         |C,D,E,F                                           |9,7,13,20      |15,6,8,7       |9,7,13,20      |24,13,21,27    |C24,D13,E21,F27               |C24,D13,E21,F27               
D         |H,E                                               |8,4            |10,8           |21,17          |31,25          |H31,E25                       |H31,E25                       
E         |K,I                                               |4,3            |2,4            |25,24          |27,28          |K27,I28                       |K27,I28                       
C         |H                                                 |6              |10             |30             |40             |H40                           |H40                           
F         |G,I                                               |4,6            |12,4           |29,31          |41,35          |G41,I35                       |G41,I35                       
K         |B                                                 |6              |0              |33             |33             |B33                           |B33                           
I         |B                                                 |5              |0              |33             |33             |B33                           |B33                           
H         |                                                  |               |               |               |               |                              |                              
B         |Đã tìm được đích với tổng chi phí là 33.          |               |               |               |               |                              |                              
B         |TTKT-Dung duong tong la B<-H<-I<-K<-F<-E<-C<-E<-D<-A tổng là 33|               |               |               |               |                              |                              
